,|Random - One-unseen|,|Random - Both-unseen|,|One-unseen - Both-unseen|,expname
twosides,0.031692709633203586,0.05186878722269861,0.020176077589495023,ref
drugbank,0.27154229314987266,0.42391851894843774,0.15237622579856508,ref
twosides,0.04982022920666801,0.06989559174577029,0.020075362539102276,n100-Randomized SMILES
drugbank,0.24790113579061784,0.40650512643680636,0.15860399064618852,n100-Randomized SMILES
